3,9,2018-01-25,2018-02-30
4,6,2018-01-22,2018-01-23
3,7,2018-02-22,2018-03-29
2,19,2018-02-26,2018-02-31
4,34,2018-01-23,2018-02-20
3,11,2018-01-26,2018-02-21
2,40,2018-01-23,2018-02-23
3,5,2017-07-26,2017-08-23
2,35,2017-07-13,2017-09-21
5,40,2017-07-25,2017-09-22
8,9,2017-07-26,2017-09-22
5,12,2017-07-25,2017-09-23
2,5,2017-08-23,2017-09-23
6,15,2017-09-23,2017-09-26
6,2,2017-09-21,2017-09-28
7,2,2017-10-21,2017-10-28
8,2,2017-11-21,2017-11-28
7,38,2017-07-26,2017-10-22
2,18,2017-09-23,2017-10-28
3,5,2017-11-23,2017-12-24
3,40,2017-11-23,2017-12-24
2,37,2018-02-11,
4,27,2018-02-22,
4,6,2018-01-25,
3,33,2018-01-30,
3,13,2018-01-04,
3,3,2017-09-13,
4,19,2017-09-21,
2,5,2017-10-29,
